"Stkcd","Date","Year","Month","ME_lag","BM_ME_ref_lag","BM_ME_ref_source_lag","BM_ME_ref_june","BM_ME_ref_source_june","ME_June_from_lag_call","ME_June_from_june_call","lag_equals_june_ref","ref_lag_equals_ref_june"
"000001",2020-07-01,2020,7,248395752.93,248395752.93,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,TRUE,TRUE
"000001",2020-08-01,2020,8,258874948.76,258874948.76,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2020-09-01,2020,9,292641246.43,292641246.43,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2020-10-01,2020,10,294387779.06,294387779.06,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2020-11-01,2020,11,344455048.01,344455048.01,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2020-12-01,2020,12,383072825.23,383072825.23,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-01-01,2021,1,375310457.95,375310457.95,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-02-01,2021,2,448082651.19,448082651.19,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-03-01,2021,3,414898531.07,414898531.07,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-04-01,2021,4,427124259.54,427124259.54,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-05-01,2021,5,451963834.83,451963834.83,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000001",2021-06-01,2021,6,469623220.39,469623220.39,"lag_me",248395752.93,"june_me",248395752.93,248395752.93,FALSE,FALSE
"000002",2020-07-01,2020,7,254190497.37,254190497.37,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,TRUE,TRUE
"000002",2020-08-01,2020,8,260997434.95,260997434.95,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2020-09-01,2020,9,265178839.45,265178839.45,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2020-10-01,2020,10,272471986.85,272471986.85,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2020-11-01,2020,11,267901614.48,267901614.48,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2020-12-01,2020,12,298532833.56,298532833.56,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-01-01,2021,1,279084440.5,279084440.5,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-02-01,2021,2,270235421.65,270235421.65,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-03-01,2021,3,321870905.24,321870905.24,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-04-01,2021,4,291725895.99,291725895.99,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-05-01,2021,5,273930616.33,273930616.33,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000002",2021-06-01,2021,6,259636047.43,259636047.43,"lag_me",254190497.37,"june_me",254190497.37,254190497.37,FALSE,FALSE
"000004",2020-07-01,2020,7,4925170.33,4925170.33,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,TRUE,TRUE
"000004",2020-08-01,2020,8,4733709.29,4733709.29,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2020-09-01,2020,9,4222046.15,4222046.15,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2020-10-01,2020,10,3811065.11,3811065.11,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2020-11-01,2020,11,4390399.83,4390399.83,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2020-12-01,2020,12,4558753.5,4558753.5,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-01-01,2021,1,3416589.34,3416589.34,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-02-01,2021,2,3343966.18,3343966.18,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-03-01,2021,3,3111241.98,3111241.98,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-04-01,2021,4,2820749.36,2820749.36,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-05-01,2021,5,2629288.32,2629288.32,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
"000004",2021-06-01,2021,6,2647444.11,2647444.11,"lag_me",4925170.33,"june_me",4925170.33,4925170.33,FALSE,FALSE
