"Date","n_stk"
2008-07-01,1376
2008-08-01,1395
2008-09-01,1409
2008-10-01,1408
2008-11-01,1420
2008-12-01,1448
2009-01-01,1444
2009-02-01,1460
2009-03-01,1463
2009-04-01,1464
2009-05-01,1462
2009-06-01,1464
2009-07-01,1509
2009-08-01,1514
2009-09-01,1519
2009-10-01,1519
2009-11-01,1519
2009-12-01,1519
2010-01-01,1515
2010-02-01,1521
2010-03-01,1520
2010-04-01,1518
2010-05-01,1511
2010-06-01,1510
2010-07-01,1506
2010-08-01,1512
2010-09-01,1530
2010-10-01,1556
2010-11-01,1570
2010-12-01,1602
2011-01-01,1629
2011-02-01,1651
2011-03-01,1647
2011-04-01,1646
2011-05-01,1639
2011-06-01,1640
2011-07-01,1797
2011-08-01,1831
2011-09-01,1861
2011-10-01,1881
2011-11-01,1906
2011-12-01,1946
2012-01-01,1975
2012-02-01,2003
2012-03-01,2015
2012-04-01,2013
2012-05-01,2016
2012-06-01,2022
2012-07-01,2158
2012-08-01,2183
2012-09-01,2203
2012-10-01,2212
2012-11-01,2237
2012-12-01,2250
2013-01-01,2252
2013-02-01,2267
2013-03-01,2266
2013-04-01,2262
2013-05-01,2264
2013-06-01,2242
2013-07-01,2367
2013-08-01,2384
2013-09-01,2380
2013-10-01,2388
2013-11-01,2382
2013-12-01,2386
2014-01-01,2380
2014-02-01,2360
2014-03-01,2359
2014-04-01,2335
2014-05-01,2305
2014-06-01,2318
2014-07-01,2337
2014-08-01,2331
2014-09-01,2346
2014-10-01,2303
2014-11-01,2304
2014-12-01,2330
2015-01-01,2347
2015-02-01,2317
2015-03-01,2335
2015-04-01,2337
2015-05-01,2310
2015-06-01,2282
2015-07-01,2216
2015-08-01,2178
2015-09-01,2190
2015-10-01,2249
2015-11-01,2329
2015-12-01,2409
2016-01-01,2436
2016-02-01,2428
2016-03-01,2447
2016-04-01,2429
2016-05-01,2418
2016-06-01,2421
2016-07-01,2595
2016-08-01,2609
2016-09-01,2624
2016-10-01,2618
2016-11-01,2645
2016-12-01,2674
2017-01-01,2666
2017-02-01,2654
2017-03-01,2665
2017-04-01,2658
2017-05-01,2629
2017-06-01,2621
2017-07-01,2693
2017-08-01,2720
2017-09-01,2786
2017-10-01,2808
2017-11-01,2860
2017-12-01,2891
2018-01-01,2939
2018-02-01,2942
2018-03-01,2917
2018-04-01,2913
2018-05-01,2958
2018-06-01,2966
2018-07-01,3164
2018-08-01,3241
2018-09-01,3301
2018-10-01,3347
2018-11-01,3405
2018-12-01,3438
2019-01-01,3445
2019-02-01,3455
2019-03-01,3457
2019-04-01,3457
2019-05-01,3453
2019-06-01,3454
2019-07-01,3500
2019-08-01,3505
2019-09-01,3515
2019-10-01,3520
2019-11-01,3526
2019-12-01,3532
2020-01-01,3533
2020-02-01,3538
2020-03-01,3541
2020-04-01,3539
2020-05-01,3533
2020-06-01,3536
2020-07-01,3604
2020-08-01,3618
2020-09-01,3630
2020-10-01,3644
2020-11-01,3675
2020-12-01,3702
2021-01-01,3710
2021-02-01,3731
2021-03-01,3733
2021-04-01,3734
2021-05-01,3733
2021-06-01,3733
2021-07-01,3855
2021-08-01,3914
2021-09-01,3980
2021-10-01,4005
2021-11-01,4025
2021-12-01,4079
2022-01-01,4079
2022-02-01,4105
2022-03-01,4139
2022-04-01,4162
2022-05-01,4155
2022-06-01,4158
2022-07-01,4350
2022-08-01,4389
2022-09-01,4428
2022-10-01,4460
2022-11-01,4494
2022-12-01,4537
2023-01-01,4524
2023-02-01,4537
2023-03-01,4561
2023-04-01,4569
2023-05-01,4566
2023-06-01,4568
2023-07-01,4666
2023-08-01,4710
2023-09-01,4751
2023-10-01,4775
2023-11-01,4799
2023-12-01,4827
2024-01-01,4782
2024-02-01,4797
2024-03-01,4815
2024-04-01,4824
2024-05-01,4824
2024-06-01,4824
2024-07-01,4942
2024-08-01,4968
2024-09-01,4982
2024-10-01,4990
2024-11-01,5000
2024-12-01,5013
2025-01-01,5025
2025-02-01,5030
2025-03-01,5037
2025-04-01,5039
2025-05-01,5031
2025-06-01,5036
2025-07-01,5045
2025-08-01,5049
2025-09-01,5056
2025-10-01,5063
2025-11-01,5069
2025-12-01,5076
