"Factor","mean","t","p","n","lag_used","Sample","Cut"
"HML_Adj",0.00918990199404869,1.5218586886619,0.135720469840216,42,4,"Pre|EW","cut=2012-01"
"HML_Raw",0.00770356280590186,1.23800428025576,0.22275692741942,42,4,"Pre|EW","cut=2012-01"
"HML_Delta",0.00148633918814683,2.52309805998633,0.0156053706129498,42,2,"Pre|EW","cut=2012-01"
"HML_Adj",0.00549583863083312,0.563494685585176,0.576167243362821,42,3,"Pre|VW","cut=2012-01"
"HML_Raw",0.00397848082422902,0.39575740052162,0.694335943873396,42,3,"Pre|VW","cut=2012-01"
"HML_Delta",0.00151735780660409,1.57142505551919,0.1237702105299,42,3,"Pre|VW","cut=2012-01"
"HML_Adj",0.00756279698911865,2.2212956758628,0.0276755498580006,168,2,"Post|EW","cut=2012-01"
"HML_Raw",0.00618188804858768,1.91608809381086,0.0570620553436784,168,3,"Post|EW","cut=2012-01"
"HML_Delta",0.00138090894053096,3.51631534430965,0.000563540717295517,168,3,"Post|EW","cut=2012-01"
"HML_Adj",0.00286798755361428,0.60507225083395,0.545952304830329,168,8,"Post|VW","cut=2012-01"
"HML_Raw",0.00259803822368551,0.559856552098673,0.576327456652232,168,10,"Post|VW","cut=2012-01"
"HML_Delta",0.000269949329928788,0.656116060593566,0.512652428965237,168,5,"Post|VW","cut=2012-01"
"HML_Adj",0.00795858631550919,1.50533744913119,0.13632862711658,78,3,"Pre|EW","cut=2015-01"
"HML_Raw",0.00715169016911144,1.31474423987636,0.192498318296801,78,3,"Pre|EW","cut=2015-01"
"HML_Delta",0.000806896146397754,2.00135917378921,0.0488770223208412,78,1,"Pre|EW","cut=2015-01"
"HML_Adj",0.00663968797636001,0.843726566409622,0.401435797096543,78,2,"Pre|VW","cut=2015-01"
"HML_Raw",0.00636446099644212,0.790251673399117,0.431807880080306,78,2,"Pre|VW","cut=2015-01"
"HML_Delta",0.000275226979917886,0.407644309087118,0.684666007138196,78,1,"Pre|VW","cut=2015-01"
"HML_Adj",0.00784663670691106,1.87271627353884,0.0633364958060498,132,0,"Post|EW","cut=2015-01"
"HML_Raw",0.00609299240015088,1.49205340573361,0.138089459888141,132,1,"Post|EW","cut=2015-01"
"HML_Delta",0.00175364430676018,3.71750201853554,0.000297073552179174,132,1,"Post|EW","cut=2015-01"
"HML_Adj",0.00147538991928871,0.265483665382184,0.791054222047424,132,3,"Post|VW","cut=2015-01"
"HML_Raw",0.000811656503593155,0.149526334944893,0.88136828919414,132,4,"Post|VW","cut=2015-01"
"HML_Delta",0.000663733415695552,1.3349590722296,0.184205088771096,132,4,"Post|VW","cut=2015-01"
"HML_Adj",0.00827669676803846,2.09654228746463,0.0382655698494431,114,4,"Pre|EW","cut=2018-01"
"HML_Raw",0.00729801597532529,1.81618151658754,0.071993675886187,114,4,"Pre|EW","cut=2018-01"
"HML_Delta",0.000978680792713162,3.32177880186864,0.00120540016794755,114,4,"Pre|EW","cut=2018-01"
"HML_Adj",0.00541992274100366,1.04131033852561,0.299954344230094,114,9,"Pre|VW","cut=2018-01"
"HML_Raw",0.00467017887005294,0.902816724206855,0.368543656368702,114,8,"Pre|VW","cut=2018-01"
"HML_Delta",0.000749743870950725,1.47176820419544,0.143863058138781,114,6,"Pre|VW","cut=2018-01"
"HML_Adj",0.00742689944130828,1.81496630019793,0.0726846277221027,96,4,"Post|EW","cut=2018-01"
"HML_Raw",0.00552221884191173,1.37812218358313,0.171402846543656,96,6,"Post|EW","cut=2018-01"
"HML_Delta",0.00190468059939654,3.08900112117236,0.00263381338794201,96,2,"Post|EW","cut=2018-01"
"HML_Adj",0.000987249364872632,0.15558449191497,0.876690664518154,96,3,"Post|VW","cut=2018-01"
"HML_Raw",0.000741314843861957,0.121317034457593,0.903696165546119,96,4,"Post|VW","cut=2018-01"
"HML_Delta",0.000245934521010682,0.453291894954665,0.651372253420647,96,4,"Post|VW","cut=2018-01"
