"Cut","Period","Weight","alpha","t","p","lag_used"
"cut=2012-01","Pre","EW",0.00172842549959277,3.14064497114824,0.00316638207802878,0
"cut=2012-01","Pre","VW",0.00163921521038868,2.10818065798982,0.0413278907744791,5
"cut=2012-01","Post","EW",0.00155565304311821,3.58988802027177,0.000435254948897535,8
"cut=2012-01","Post","VW",0.000308266432811693,0.712279352095557,0.477291719992774,4
"cut=2015-01","Pre","EW",0.00102300165817446,2.58627972493342,0.0116133487210076,2
"cut=2015-01","Pre","VW",0.000426997817601213,0.700939689719573,0.485481256671051,7
"cut=2015-01","Post","EW",0.00192244240070083,3.77271379607453,0.000244307021374761,9
"cut=2015-01","Post","VW",0.000674601954667423,1.41060032706756,0.160750898454956,0
"cut=2018-01","Pre","EW",0.00119701422536153,3.76060050271545,0.000271242278059148,8
"cut=2018-01","Pre","VW",0.000860846667053078,1.6597612942712,0.0997599978107748,4
"cut=2018-01","Post","EW",0.00205031306026696,2.99205484735928,0.00353911604953709,4
"cut=2018-01","Post","VW",0.000251442723502302,0.469913540999372,0.639505138940519,3
