"dQ","Freq","share","Cut","Period"
"-1",3667,0.0557659260611038,"cut=2012-01","Pre"
"0",58513,0.889836823456058,"cut=2012-01","Pre"
"1",3491,0.0530894049302736,"cut=2012-01","Pre"
"2",82,0.00124701552686406,"cut=2012-01","Pre"
"3",4,6.08300257006859e-05,"cut=2012-01","Pre"
"-1",57734,0.101836205528019,"cut=2012-01","Post"
"0",455548,0.803534827932902,"cut=2012-01","Post"
"1",50249,0.0886335173654596,"cut=2012-01","Post"
"2",2802,0.00494240911576385,"cut=2012-01","Post"
"3",507,0.000894290300389819,"cut=2012-01","Post"
"4",90,0.000158749757465648,"cut=2012-01","Post"
"-1",10112,0.068839691746317,"cut=2015-01","Pre"
"0",126935,0.864138278463089,"cut=2015-01","Pre"
"1",9594,0.0653132913977616,"cut=2015-01","Pre"
"2",235,0.00159981482994309,"cut=2015-01","Pre"
"3",16,0.000108923562889742,"cut=2015-01","Pre"
"-1",51289,0.105577455511069,"cut=2015-01","Post"
"0",387126,0.796891692998075,"cut=2015-01","Post"
"1",44146,0.090873722454945,"cut=2015-01","Post"
"2",2649,0.00545291738284667,"cut=2015-01","Post"
"3",495,0.00101894832182299,"cut=2015-01","Post"
"4",90,0.000185263331240544,"cut=2015-01","Post"
"-1",17719,0.0746421440186026,"cut=2018-01","Pre"
"0",202385,0.852556595586934,"cut=2018-01","Pre"
"1",16874,0.0710825406721542,"cut=2018-01","Pre"
"2",380,0.00160076836881703,"cut=2018-01","Pre"
"3",27,0.000113738805152789,"cut=2018-01","Pre"
"4",1,4.21254833899219e-06,"cut=2018-01","Pre"
"-1",43682,0.110503135585288,"cut=2018-01","Post"
"0",311676,0.788452343910084,"cut=2018-01","Post"
"1",36866,0.0932605786476634,"cut=2018-01","Post"
"2",2504,0.0063344135228598,"cut=2018-01","Post"
"3",484,0.00122438344451443,"cut=2018-01","Post"
"4",89,0.000225144889590464,"cut=2018-01","Post"
