"Variable","Mean","SD","Min","P1","P50","P99","Max"
"Ret",0.0113092343180119,0.130525757489794,-0.4803027,-0.28143756,0,0.41486912,1.45885466
"BM_Raw",0.47357464038399,0.386421993490906,0.00688525745606267,0.0386356005105613,0.372315972461274,2.02591698203043,3.16108842816185
"BM_Adj",0.560352407501484,0.440062408785762,0.0115396702361803,0.0562492444608127,0.446478245206543,2.32228194746536,3.65932614904373
"K_to_ME",0.0850402243181314,0.100543763539844,0,0,0.0516160189852576,0.526777471277701,0.929497182125376
"Delta_BM",0.0850402243181314,0.100543763539844,0,0,0.0516160189852576,0.526777471277701,0.929497182125376
"MOM12",0.110077973808187,0.529998935392259,-0.87729187552155,-0.613516154933726,-0.00636356307903591,2.11186099110679,7.34424411966187
"lnME",15.3838559370222,1.13259123015478,11.8515350918285,13.2041789726511,15.2439298484161,18.7362477336869,19.3043371562397
"RiskPremium",0.00589539954985641,0.0586664245518566,-0.262438,-0.15066,0.004843,0.175011,0.182221
"SMB",0.00711416724067351,0.0495683168954935,-0.235821,-0.131209,0.006325,0.116481,0.241195
"HML_Std",0.00105301919748628,0.0363556572599076,-0.147871,-0.085249,0.002114,0.108439,0.160514
